1,458817.973,177480.162,4.026,B2.0X2   
2,458821.705,177481.977,3.958,B2.0X2   
3,458821.036,177484.693,3.973,KK       
4,458816.197,177482.19,3.933,KK       
5,458816.071,177482.431,3.346,-        
6,458814.125,177491.43,2.906,-        
7,458816.37,177492.042,2.942,-        
8,458825.544,177483.219,6.791,K        
9,458825.354,177485.477,5.924,A3       
10,458822.46,177492.392,5.723,A3       
11,458820.969,177497.23,5.593,A3       
12,458819.773,177501.25,5.521,A3       
13,458819.806,177505.649,5.425,A3       
14,458820.72,177505.863,5.486,A3       
15,458822.136,177506.15,4.963,A5       
16,458821.869,177502.857,4.894,A5       
17,458822.972,177498.529,4.887,A5       
18,458823.879,177495.903,4.983,A5       
19,458826.394,177495.226,4.995,A5       
20,458831.766,177495.7,4.987,A5       
21,458834.858,177496.451,4.985,A5       
22,458834.445,177495.07,5.293,A4       
23,458830.523,177492.189,5.532,A4       
24,458827.83,177490.691,5.602,A4       
25,458826.383,177488.597,5.754,A4       
26,458831.077,177491.275,5.809,A4       
27,458832.714,177492.007,5.845,A4       
28,458830.223,177489.566,6.03,A4       
29,458826.526,177486.79,5.897,A4       
30,458825.843,177485.771,6.051,A3       
31,458823.84,177490.992,5.779,A3       
32,458824.907,177491.252,5.441,A4       
33,458823.566,177494.561,5.396,A4       
34,458822.367,177495.062,5.566,A3       
35,458820.883,177500.204,5.564,A3       
36,458820.54,177502.269,5.52,A3       
37,458827.971,177494.406,5.189,A4       
38,458833.066,177495.334,5.213,A4       
39,458841.828,177500.913,4.958,A5       
40,458852.326,177508.059,4.953,A5       
41,458862.096,177514.115,4.943,A5       
42,458872.409,177519.999,4.939,A5       
43,458877.297,177522.092,4.972,A5       
44,458874.596,177518.613,5.628,A5       
45,458871.533,177514.581,6.511,A5       
46,458873.373,177513.073,6.47,A5       
47,458876.923,177516.98,5.579,A5       
48,458880.227,177520.389,5.136,A5       
49,458881.474,177521.663,4.987,A5       
50,458885.983,177523.147,4.97,A5       
51,458896.993,177529.129,4.96,A5       
52,458907.413,177534.492,4.931,A5       
53,458915.806,177539.002,4.979,A5       
54,458920.141,177541.457,4.919,A5       
55,458917.665,177545.202,4.975,A5       
56,458913.062,177550.499,4.936,A5       
57,458909.571,177554.154,4.957,A5       
58,458910.797,177555.551,5.062,A5       
59,458914.866,177550.728,5.095,A5       
60,458919.294,177545.714,5.073,A5       
61,458921.548,177541.208,5.089,A5       
62,458930.29,177545.765,5.078,A5       
63,458941.19,177551.226,5.093,A5       
64,458954.965,177558.237,5.071,A5       
65,458973.527,177567.971,5.043,A5       
66,458992.593,177577.644,5.09,A5       
67,458820.868,177484.908,3.346,-        
68,458817.988,177528.588,2.309,S        
69,458819.111,177528.048,2.15,-        
70,458819.723,177527.95,2.242,-        
71,458816.469,177518.727,2.619,-        
72,458815.432,177518.919,2.608,-        
73,458814.64,177519.786,2.764,S        
74,458811.895,177513.056,2.92,S        
75,458813.761,177513.539,2.619,-        
76,458815.336,177512.533,2.756,-        
77,458812.95,177511.984,2.649,-        
78,458814.188,177511.037,2.675,-        
79,458809.998,177507.666,2.813,S        
80,458810.991,177507.316,2.666,-        
81,458811.789,177506.918,2.648,-        
82,458808.991,177504.907,2.889,S        
83,458808.398,177503.475,2.939,S-1      
84,458807.364,177501.013,2.885,S-1      
85,458804.996,177497.794,2.971,S-1      
86,458802.3,177495.395,2.989,S-1      
87,458803.278,177493.234,2.988,S-1      
88,458805.481,177495.22,2.858,S-1      
89,458807.32,177497.159,2.85,S-1      
90,458810.119,177496.193,2.972,S-1      
91,458810.771,177497.774,2.876,S        
92,458811.356,177496.215,2.864,S        
93,458810.916,177496.472,2.869,S-1      
94,458811.438,177497.536,2.698,-        
95,458812.75,177497.952,2.686,-        
96,458812.172,177499.404,2.754,-        
97,458811.283,177499.451,2.688,-        
98,458815.341,177493.141,2.694,-        
99,458814.291,177493.096,2.731,-        
100,458815.336,177490.379,2.988,-        
101,458816.523,177490.573,3.105,-        
102,458816.068,177492.957,2.816,S        
103,458813.93,177497.426,2.874,S        
104,458811.963,177503.124,2.88,S        
105,458812.55,177504.968,2.838,S        
106,458811.649,177504.425,2.624,-        
107,458812.049,177505.763,2.649,-        
108,458814.545,177510.052,2.675,-        
109,458815.615,177497.761,3.506,3
110,458815.356,177501.212,3.461,3
111,458814.718,177504.54,3.217,3
112,458815.488,177508.114,3.118,3
113,458816.298,177509.864,2.943,3
114,458814.784,177509.535,2.864,S        
115,458816.336,177510.824,2.8,S        
116,458816.898,177515.467,2.691,S        
117,458819.984,177526.094,2.309,S        
118,458823.303,177534.079,2.394,S        
119,458825.216,177538.1,2.206,S        
120,458824.531,177538.393,1.944,-        
121,458827.357,177545.355,1.847,-        
122,458828.542,177545.187,2.157,S        
123,458830.41,177548.89,3.134,S        
124,458832.263,177554.702,2.219,S        
125,458832.251,177554.702,2.228,S        
126,458832.206,177555.359,2,-        
127,458832.21,177555.372,1.987,-        
128,458835.688,177560.911,2.104,-        
129,458835.909,177560.805,2.225,S        
130,458835.899,177560.813,2.224,S        
131,458836.735,177562.657,2.183,S        
132,458836.602,177563.047,2.167,S        
133,458833.132,177559.912,2.213,S        
134,458831.275,177557.456,2.147,S        
135,458830.751,177557.46,2.159,S        
136,458830.284,177558.509,2.167,S        
137,458831.855,177561.711,2.203,S        
138,458835.404,177564.978,2.167,S        
139,458831.562,177559.125,2.26,-        
140,458831.554,177559.098,2.235,-        
141,458833.121,177561.214,2.281,-        
142,458835.87,177563.841,2.259,-        
143,458836.97,177564.175,2.197,-        
144,458840.737,177565.659,2.269,-        
145,458843.325,177565.705,2.366,-        
146,458836.829,177561.136,2.389,A1       
147,458842.271,177562.423,2.469,A1       
148,458848.3,177563.421,2.397,A1       
149,458860.095,177565.604,2.282,A1       
150,458849.04,177575.481,2.154,-        
151,458849.654,177576.83,2.81,-        
152,458854.452,177575.886,2.976,-        
153,458848.134,177580.131,2.136,S        
154,458848.952,177579.783,2.615,-        
155,458851.963,177585.724,2.683,-        
156,458851.523,177586.66,2.097,S        
157,458857.849,177589.267,2.16,S        
158,458858.826,177587.051,3.028,-        
159,458867.681,177593.598,3.127,-        
160,458867.431,177595.888,2.139,s        
161,458889.318,177602.703,2.141,s        
162,458888.995,177600.84,2.881,-        
163,458908.408,177599.548,2.81,-        
164,458908.912,177601.903,2.119,S        
165,458924.323,177599.747,2.196,S        
166,458924.061,177597.992,2.536,0.1
167,458919.093,177594.771,2.777,0.1
168,458934.235,177598.759,2.136,S        
169,458934.598,177598.129,2.392,4
